t,dir,outcome,err,stream,seq,id,gen_time,on_time
27020,DATA,STATE_APPLIED,OK,0,28,0,27000,0
27040,ACK,ACK_STATE,OK,0,28,0,0,0
27240,DATA,STATE_APPLIED,OK,1,55,0,27215,0
27260,ACK,ACK_STATE,OK,1,55,0,0,0
27810,DATA,STATE_APPLIED,OK,1,56,0,27790,0
27830,ACK,ACK_STATE,OK,1,56,0,0,0
28020,DATA,STATE_APPLIED,OK,0,29,0,28000,0
28040,ACK,ACK_STATE,OK,0,29,0,0,0
28320,DATA,STATE_APPLIED,OK,1,57,0,28299,0
28340,ACK,ACK_STATE,OK,1,57,0,0,0
28780,DATA,STATE_APPLIED,OK,1,58,0,28758,0
28800,ACK,ACK_STATE,OK,1,58,0,0,0
29020,DATA,STATE_APPLIED,OK,0,30,0,29000,0
29040,ACK,ACK_STATE,OK,0,30,0,0,0
29310,DATA,STATE_APPLIED,OK,1,59,0,29281,0
29330,ACK,ACK_STATE,OK,1,59,0,0,0
29810,DATA,STATE_APPLIED,OK,1,60,0,29787,0
29830,ACK,ACK_STATE,OK,1,60,0,0,0
