slot,t,kind,reason,ref,attempt,seq,n_elig_ev,n_elig_st,lost,delay_ms,ack_type,ack_lost
153,1530,NONE,IDLE,0,0,0,0,0,0,0,,0
154,1540,NONE,IDLE,0,0,0,0,0,0,0,,0
155,1550,NONE,IDLE,0,0,0,0,0,0,0,,0
156,1560,NONE,IDLE,0,0,0,0,0,0,0,,0
157,1570,NONE,IDLE,0,0,0,0,0,0,0,,0
158,1580,NONE,IDLE,0,0,0,0,0,0,0,,0
159,1590,NONE,IDLE,0,0,0,0,0,0,0,,0
160,1600,NONE,IDLE,0,0,0,0,0,0,0,,0
161,1610,NONE,IDLE,0,0,0,0,0,0,0,,0
162,1620,NONE,IDLE,0,0,0,0,0,0,0,,0
163,1630,NONE,IDLE,0,0,0,0,0,0,0,,0
164,1640,NONE,IDLE,0,0,0,0,0,0,0,,0
165,1650,NONE,IDLE,0,0,0,0,0,0,0,,0
166,1660,NONE,IDLE,0,0,0,0,0,0,0,,0
167,1670,NONE,IDLE,0,0,0,0,0,0,0,,0
168,1680,NONE,IDLE,0,0,0,0,0,0,0,,0
169,1690,NONE,IDLE,0,0,0,0,0,0,0,,0
170,1700,NONE,IDLE,0,0,0,0,0,0,0,,0
171,1710,NONE,IDLE,0,0,0,0,0,0,0,,0
172,1720,NONE,IDLE,0,0,0,0,0,0,0,,0
173,1730,NONE,IDLE,0,0,0,0,0,0,0,,0
174,1740,NONE,IDLE,0,0,0,0,0,0,0,,0
175,1750,NONE,IDLE,0,0,0,0,0,0,0,,0
176,1760,NONE,IDLE,0,0,0,0,0,0,0,,0
177,1770,NONE,IDLE,0,0,0,0,0,0,0,,0
178,1780,NONE,IDLE,0,0,0,0,0,0,0,,0
179,1790,NONE,IDLE,0,0,0,0,0,0,0,,0
180,1800,NONE,IDLE,0,0,0,0,0,0,0,,0
181,1810,NONE,IDLE,0,0,0,0,0,0,0,,0
182,1820,NONE,IDLE,0,0,0,0,0,0,0,,0
183,1830,NONE,IDLE,0,0,0,0,0,0,0,,0
184,1840,NONE,IDLE,0,0,0,0,0,0,0,,0
185,1850,NONE,IDLE,0,0,0,0,0,0,0,,0
186,1860,NONE,IDLE,0,0,0,0,0,0,0,,0
187,1870,NONE,IDLE,0,0,0,0,0,0,0,,0
188,1880,NONE,IDLE,0,0,0,0,0,0,0,,0
189,1890,NONE,IDLE,0,0,0,0,0,0,0,,0
190,1900,NONE,IDLE,0,0,0,0,0,0,0,,0
191,1910,NONE,IDLE,0,0,0,0,0,0,0,,0
192,1920,NONE,IDLE,0,0,0,0,0,0,0,,0
193,1930,NONE,IDLE,0,0,0,0,0,0,0,,0
194,1940,NONE,IDLE,0,0,0,0,0,0,0,,0
195,1950,NONE,IDLE,0,0,0,0,0,0,0,,0
196,1960,NONE,IDLE,0,0,0,0,0,0,0,,0
197,1970,NONE,IDLE,0,0,0,0,0,0,0,,0
198,1980,NONE,IDLE,0,0,0,0,0,0,0,,0
199,1990,NONE,IDLE,0,0,0,0,0,0,0,,0
200,2000,NONE,IDLE,0,0,0,0,0,0,0,,0
201,2010,NONE,IDLE,0,0,0,0,0,0,0,,0
202,2020,NONE,IDLE,0,0,0,0,0,0,0,,0
203,2030,NONE,IDLE,0,0,0,0,0,0,0,,0
204,2040,NONE,IDLE,0,0,0,0,0,0,0,,0
205,2050,NONE,IDLE,0,0,0,0,0,0,0,,0
206,2060,NONE,IDLE,0,0,0,0,0,0,0,,0
207,2070,NONE,IDLE,0,0,0,0,0,0,0,,0
208,2080,NONE,IDLE,0,0,0,0,0,0,0,,0
209,2090,NONE,IDLE,0,0,0,0,0,0,0,,0
210,2100,NONE,IDLE,0,0,0,0,0,0,0,,0
211,2110,NONE,IDLE,0,0,0,0,0,0,0,,0
212,2120,NONE,IDLE,0,0,0,0,0,0,0,,0
213,2130,NONE,IDLE,0,0,0,0,0,0,0,,0
214,2140,NONE,IDLE,0,0,0,0,0,0,0,,0
215,2150,NONE,IDLE,0,0,0,0,0,0,0,,0
216,2160,NONE,IDLE,0,0,0,0,0,0,0,,0
217,2170,NONE,IDLE,0,0,0,0,0,0,0,,0
218,2180,NONE,IDLE,0,0,0,0,0,0,0,,0
219,2190,NONE,IDLE,0,0,0,0,0,0,0,,0
220,2200,NONE,IDLE,0,0,0,0,0,0,0,,0
221,2210,NONE,IDLE,0,0,0,0,0,0,0,,0
222,2220,NONE,IDLE,0,0,0,0,0,0,0,,0
223,2230,NONE,IDLE,0,0,0,0,0,0,0,,0
224,2240,NONE,IDLE,0,0,0,0,0,0,0,,0
225,2250,NONE,IDLE,0,0,0,0,0,0,0,,0
226,2260,NONE,IDLE,0,0,0,0,0,0,0,,0
227,2270,NONE,IDLE,0,0,0,0,0,0,0,,0
228,2280,NONE,IDLE,0,0,0,0,0,0,0,,0
229,2290,NONE,IDLE,0,0,0,0,0,0,0,,0
230,2300,NONE,IDLE,0,0,0,0,0,0,0,,0
231,2310,NONE,IDLE,0,0,0,0,0,0,0,,0
232,2320,NONE,IDLE,0,0,0,0,0,0,0,,0
233,2330,NONE,IDLE,0,0,0,0,0,0,0,,0
234,2340,NONE,IDLE,0,0,0,0,0,0,0,,0
235,2350,NONE,IDLE,0,0,0,0,0,0,0,,0
236,2360,NONE,IDLE,0,0,0,0,0,0,0,,0
237,2370,NONE,IDLE,0,0,0,0,0,0,0,,0
238,2380,NONE,IDLE,0,0,0,0,0,0,0,,0
239,2390,NONE,IDLE,0,0,0,0,0,0,0,,0
240,2400,NONE,IDLE,0,0,0,0,0,0,0,,0
241,2410,NONE,IDLE,0,0,0,0,0,0,0,,0
242,2420,NONE,IDLE,0,0,0,0,0,0,0,,0
243,2430,NONE,IDLE,0,0,0,0,0,0,0,,0
244,2440,NONE,IDLE,0,0,0,0,0,0,0,,0
245,2450,NONE,IDLE,0,0,0,0,0,0,0,,0
246,2460,NONE,IDLE,0,0,0,0,0,0,0,,0
247,2470,NONE,IDLE,0,0,0,0,0,0,0,,0
248,2480,NONE,IDLE,0,0,0,0,0,0,0,,0
249,2490,NONE,IDLE,0,0,0,0,0,0,0,,0
250,2500,NONE,IDLE,0,0,0,0,0,0,0,,0
251,2510,NONE,IDLE,0,0,0,0,0,0,0,,0
252,2520,NONE,IDLE,0,0,0,0,0,0,0,,0
253,2530,NONE,IDLE,0,0,0,0,0,0,0,,0
254,2540,NONE,IDLE,0,0,0,0,0,0,0,,0
255,2550,NONE,IDLE,0,0,0,0,0,0,0,,0
256,2560,NONE,IDLE,0,0,0,0,0,0,0,,0
257,2570,NONE,IDLE,0,0,0,0,0,0,0,,0
258,2580,NONE,IDLE,0,0,0,0,0,0,0,,0
259,2590,NONE,IDLE,0,0,0,0,0,0,0,,0
260,2600,NONE,IDLE,0,0,0,0,0,0,0,,0
261,2610,NONE,IDLE,0,0,0,0,0,0,0,,0
262,2620,NONE,IDLE,0,0,0,0,0,0,0,,0
263,2630,NONE,IDLE,0,0,0,0,0,0,0,,0
264,2640,NONE,IDLE,0,0,0,0,0,0,0,,0
265,2650,NONE,IDLE,0,0,0,0,0,0,0,,0
266,2660,NONE,IDLE,0,0,0,0,0,0,0,,0
267,2670,NONE,IDLE,0,0,0,0,0,0,0,,0
268,2680,NONE,IDLE,0,0,0,0,0,0,0,,0
269,2690,NONE,IDLE,0,0,0,0,0,0,0,,0
270,2700,NONE,IDLE,0,0,0,0,0,0,0,,0
271,2710,NONE,IDLE,0,0,0,0,0,0,0,,0
272,2720,NONE,IDLE,0,0,0,0,0,0,0,,0
273,2730,NONE,IDLE,0,0,0,0,0,0,0,,0
274,2740,NONE,IDLE,0,0,0,0,0,0,0,,0
275,2750,NONE,IDLE,0,0,0,0,0,0,0,,0
276,2760,NONE,IDLE,0,0,0,0,0,0,0,,0
277,2770,NONE,IDLE,0,0,0,0,0,0,0,,0
278,2780,NONE,IDLE,0,0,0,0,0,0,0,,0
279,2790,NONE,IDLE,0,0,0,0,0,0,0,,0
280,2800,NONE,IDLE,0,0,0,0,0,0,0,,0
281,2810,NONE,IDLE,0,0,0,0,0,0,0,,0
282,2820,NONE,IDLE,0,0,0,0,0,0,0,,0
283,2830,NONE,IDLE,0,0,0,0,0,0,0,,0
284,2840,NONE,IDLE,0,0,0,0,0,0,0,,0
285,2850,NONE,IDLE,0,0,0,0,0,0,0,,0
286,2860,NONE,IDLE,0,0,0,0,0,0,0,,0
287,2870,NONE,IDLE,0,0,0,0,0,0,0,,0
288,2880,NONE,IDLE,0,0,0,0,0,0,0,,0
289,2890,NONE,IDLE,0,0,0,0,0,0,0,,0
290,2900,NONE,IDLE,0,0,0,0,0,0,0,,0
291,2910,NONE,IDLE,0,0,0,0,0,0,0,,0
292,2920,NONE,IDLE,0,0,0,0,0,0,0,,0
293,2930,NONE,IDLE,0,0,0,0,0,0,0,,0
294,2940,NONE,IDLE,0,0,0,0,0,0,0,,0
295,2950,NONE,IDLE,0,0,0,0,0,0,0,,0
296,2960,NONE,IDLE,0,0,0,0,0,0,0,,0
