scenario,policy,n_seeds,seeds,aoi_mean_defined_ms_mean,aoi_mean_defined_ms_min,aoi_mean_defined_ms_max,aoi_mean_defined_ms_n,aoi_defined_streams_mean,aoi_defined_streams_min,aoi_defined_streams_max,aoi_defined_streams_n,recall_mean,recall_min,recall_max,recall_n,on_time_rate_mean,on_time_rate_min,on_time_rate_max,on_time_rate_n,rx_ev_late_mean,rx_ev_late_min,rx_ev_late_max,rx_ev_late_n,ev_rejected_full_mean,ev_rejected_full_min,ev_rejected_full_max,ev_rejected_full_n,ev_retention_expired_mean,ev_retention_expired_min,ev_retention_expired_max,ev_retention_expired_n,ev_retry_exhausted_mean,ev_retry_exhausted_min,ev_retry_exhausted_max,ev_retry_exhausted_n,ev_pending_end_mean,ev_pending_end_min,ev_pending_end_max,ev_pending_end_n,delivered_but_unacked_mean,delivered_but_unacked_min,delivered_but_unacked_max,delivered_but_unacked_n,lat_mean_ms_mean,lat_mean_ms_min,lat_mean_ms_max,lat_mean_ms_n,aoi_mean_ms_mean,aoi_mean_ms_min,aoi_mean_ms_max,aoi_mean_ms_n,aoi_peak_ms_mean,aoi_peak_ms_min,aoi_peak_ms_max,aoi_peak_ms_n,over_threshold_ms_sum_mean,over_threshold_ms_sum_min,over_threshold_ms_sum_max,over_threshold_ms_sum_n,unknown_ms_sum_mean,unknown_ms_sum_min,unknown_ms_sum_max,unknown_ms_sum_n,bytes_total_tx_mean,bytes_total_tx_min,bytes_total_tx_max,bytes_total_tx_n,event_retries_mean,event_retries_min,event_retries_max,event_retries_n
ack_loss,edf_rr_ld,5,101;102;103;104;105,298.562800,292.821,301.452,5,4.000000,4,4,5,1.000000,1.000000,1.000000,5,1.000000,1.000000,1.000000,5,0.000000,0,0,5,0.000000,0,0,5,0.000000,0,0,5,0.000000,0,0,5,0.000000,0,0,5,0.000000,0,0,5,24.183400,23.500,24.917,5,298.562800,292.821,301.452,5,862.000000,754,938,5,0.000000,0,0,5,838.000000,780,900,5,12913.000000,12714,13259,5,7.000000,5,10,5
ack_loss,fresh_nodefer,5,101;102;103;104;105,298.745800,293.723,303.911,5,4.000000,4,4,5,1.000000,1.000000,1.000000,5,1.000000,1.000000,1.000000,5,0.000000,0,0,5,0.000000,0,0,5,0.000000,0,0,5,0.000000,0,0,5,0.000000,0,0,5,0.000000,0,0,5,24.183400,23.500,24.917,5,298.745800,293.723,303.911,5,854.800000,754,928,5,0.000000,0,0,5,838.000000,780,900,5,12930.200000,12786,13187,5,7.000000,5,10,5
ack_loss,fresh,5,101;102;103;104;105,298.736800,293.678,303.911,5,4.000000,4,4,5,1.000000,1.000000,1.000000,5,1.000000,1.000000,1.000000,5,0.000000,0,0,5,0.000000,0,0,5,0.000000,0,0,5,0.000000,0,0,5,0.000000,0,0,5,0.000000,0,0,5,24.350200,23.500,24.917,5,298.736800,293.678,303.911,5,854.800000,754,928,5,0.000000,0,0,5,838.000000,780,900,5,12930.000000,12785,13187,5,6.800000,5,10,5
ack_loss,fresh_ld,5,101;102;103;104;105,298.736800,293.678,303.911,5,4.000000,4,4,5,1.000000,1.000000,1.000000,5,1.000000,1.000000,1.000000,5,0.000000,0,0,5,0.000000,0,0,5,0.000000,0,0,5,0.000000,0,0,5,0.000000,0,0,5,0.000000,0,0,5,24.350200,23.500,24.917,5,298.736800,293.678,303.911,5,854.800000,754,928,5,0.000000,0,0,5,838.000000,780,900,5,12930.000000,12785,13187,5,6.800000,5,10,5
ack_loss,fresh_so,5,101;102;103;104;105,298.736800,293.678,303.911,5,4.000000,4,4,5,1.000000,1.000000,1.000000,5,1.000000,1.000000,1.000000,5,0.000000,0,0,5,0.000000,0,0,5,0.000000,0,0,5,0.000000,0,0,5,0.000000,0,0,5,0.000000,0,0,5,24.350200,23.500,24.917,5,298.736800,293.678,303.911,5,854.800000,754,928,5,0.000000,0,0,5,838.000000,780,900,5,12930.000000,12785,13187,5,6.800000,5,10,5
ack_loss,fifo,5,101;102;103;104;105,298.300200,293.678,302.638,5,4.000000,4,4,5,1.000000,1.000000,1.000000,5,1.000000,1.000000,1.000000,5,0.000000,0,0,5,0.000000,0,0,5,0.000000,0,0,5,0.000000,0,0,5,0.000000,0,0,5,0.000000,0,0,5,25.016800,23.500,27.417,5,298.300200,293.678,302.638,5,852.800000,754,928,5,0.000000,0,0,5,838.000000,780,900,5,12996.200000,12785,13187,5,8.200000,5,14,5
reorder,edf_rr,5,101;102;103;104;105,217.067800,210.109,223.797,5,4.000000,4,4,5,1.000000,1.000000,1.000000,5,1.000000,1.000000,1.000000,5,0.000000,0,0,5,0.000000,0,0,5,0.000000,0,0,5,0.000000,0,0,5,0.000000,0,0,5,0.000000,0,0,5,75.599800,53.083,115.000,5,217.067800,210.109,223.797,5,739.200000,638,878,5,0.000000,0,0,5,726.000000,440,1250,5,21608.400000,21479,21780,5,2.800000,1,4,5
reorder,edf_rr_ld,5,101;102;103;104;105,217.067800,210.109,223.797,5,4.000000,4,4,5,1.000000,1.000000,1.000000,5,1.000000,1.000000,1.000000,5,0.000000,0,0,5,0.000000,0,0,5,0.000000,0,0,5,0.000000,0,0,5,0.000000,0,0,5,0.000000,0,0,5,75.599800,53.083,115.000,5,217.067800,210.109,223.797,5,739.200000,638,878,5,0.000000,0,0,5,726.000000,440,1250,5,21608.400000,21479,21780,5,2.800000,1,4,5
reorder,fresh_nodefer,5,101;102;103;104;105,215.537200,208.958,222.334,5,4.000000,4,4,5,1.000000,1.000000,1.000000,5,1.000000,1.000000,1.000000,5,0.000000,0,0,5,0.000000,0,0,5,0.000000,0,0,5,0.000000,0,0,5,0.000000,0,0,5,0.000000,0,0,5,75.599800,53.083,115.000,5,215.537200,208.958,222.334,5,742.600000,651,839,5,0.000000,0,0,5,726.000000,440,1250,5,21621.200000,21479,21758,5,2.800000,1,4,5
reorder,fresh,5,101;102;103;104;105,215.537200,208.958,222.334,5,4.000000,4,4,5,1.000000,1.000000,1.000000,5,1.000000,1.000000,1.000000,5,0.000000,0,0,5,0.000000,0,0,5,0.000000,0,0,5,0.000000,0,0,5,0.000000,0,0,5,0.000000,0,0,5,75.599800,53.083,115.000,5,215.537200,208.958,222.334,5,742.600000,651,839,5,0.000000,0,0,5,726.000000,440,1250,5,21621.200000,21479,21758,5,2.800000,1,4,5
reorder,fresh_ld,5,101;102;103;104;105,215.537200,208.958,222.334,5,4.000000,4,4,5,1.000000,1.000000,1.000000,5,1.000000,1.000000,1.000000,5,0.000000,0,0,5,0.000000,0,0,5,0.000000,0,0,5,0.000000,0,0,5,0.000000,0,0,5,0.000000,0,0,5,75.599800,53.083,115.000,5,215.537200,208.958,222.334,5,742.600000,651,839,5,0.000000,0,0,5,726.000000,440,1250,5,21621.200000,21479,21758,5,2.800000,1,4,5
reorder,fresh_so,5,101;102;103;104;105,215.537200,208.958,222.334,5,4.000000,4,4,5,1.000000,1.000000,1.000000,5,1.000000,1.000000,1.000000,5,0.000000,0,0,5,0.000000,0,0,5,0.000000,0,0,5,0.000000,0,0,5,0.000000,0,0,5,0.000000,0,0,5,75.599800,53.083,115.000,5,215.537200,208.958,222.334,5,742.600000,651,839,5,0.000000,0,0,5,726.000000,440,1250,5,21621.200000,21479,21758,5,2.800000,1,4,5
