t,dir,outcome,err,stream,seq,id,gen_time,on_time
1880,DATA,STATE_APPLIED,OK,5,19,0,1855,0
1900,ACK,ACK_STATE,OK,5,19,0,0,0
1910,DATA,STATE_APPLIED,OK,7,19,0,1884,0
1920,DATA,STATE_APPLIED,OK,0,20,0,1892,0
1930,ACK,ACK_STATE,OK,7,19,0,0,0
1940,DATA,STATE_APPLIED,OK,1,20,0,1916,0
1940,ACK,ACK_STATE,OK,0,20,0,0,0
1950,DATA,STATE_APPLIED,OK,2,20,0,1924,0
1960,ACK,ACK_STATE,OK,1,20,0,0,0
1970,ACK,ACK_STATE,OK,2,20,0,0,0
1980,DATA,STATE_APPLIED,OK,3,20,0,1935,0
1990,DATA,STATE_APPLIED,OK,5,20,0,1967,0
2000,DATA,STATE_APPLIED,OK,6,20,0,1979,0
2000,ACK,ACK_STATE,OK,3,20,0,0,0
2010,DATA,STATE_APPLIED,OK,7,20,0,1985,0
2010,ACK,ACK_STATE,OK,5,20,0,0,0
3240,DATA,EVENT_DELIVERED,OK,0,0,1,3210,1
3250,DATA,STATE_APPLIED,OK,1,33,0,3203,0
3260,DATA,STATE_APPLIED,OK,2,33,0,3231,0
3260,ACK,ACK_EVENT,OK,0,0,1,0,0
3270,ACK,ACK_STATE,OK,1,33,0,0,0
3280,ACK,ACK_STATE,OK,2,33,0,0,0
3290,DATA,STATE_APPLIED,OK,5,33,0,3252,0
3310,ACK,ACK_STATE,OK,5,33,0,0,0
3340,DATA,STATE_APPLIED,OK,1,34,0,3313,0
3350,DATA,STATE_APPLIED,OK,2,34,0,3320,0
3360,ACK,ACK_STATE,OK,1,34,0,0,0
3370,DATA,STATE_APPLIED,OK,4,34,0,3349,0
3370,ACK,ACK_STATE,OK,2,34,0,0,0
3390,DATA,STATE_APPLIED,OK,5,34,0,3364,0
3390,ACK,ACK_STATE,OK,4,34,0,0,0
3410,ACK,ACK_STATE,OK,5,34,0,0,0
3430,DATA,STATE_APPLIED,OK,1,35,0,3403,0
3450,ACK,ACK_STATE,OK,1,35,0,0,0
